accession,spec count,peptide num,avg int m/z_126.127726,avg int m/z_127.124761,avg int m/z_127.131081,avg int m/z_128.128116,avg int m/z_128.134436,avg int m/z_129.131471,avg int m/z_129.13779,avg int m/z_130.134825,avg int m/z_130.141145,avg int m/z_131.13818,avg int m/z_131.1445,avg int m/z_132.141535,avg int m/z_132.147855,avg int m/z_133.14489,avg int m/z_133.15121,avg int m/z_134.148245,norm int m/z_126.127726,norm int m/z_127.124761,norm int m/z_127.131081,norm int m/z_128.128116,norm int m/z_128.134436,norm int m/z_129.131471,norm int m/z_129.13779,norm int m/z_130.134825,norm int m/z_130.141145,norm int m/z_131.13818,norm int m/z_131.1445,norm int m/z_132.141535,norm int m/z_132.147855,norm int m/z_133.14489,norm int m/z_133.15121,norm int m/z_134.148245,description
Q9CUL5,1,1,11736,11692,7366,41943,29403,6976,11932,36395,12127,16378,22166,20455,33295,28226,33894,24900,14304,14383,12490,31209,22341,8273,15407,43431,16547,10843,25223,16413,48897,26223,21571,25816,Dynein regulatory complex protein 11 OS=Mus musculus OX=10090 GN=Iqca1 PE=2 SV=2
Q9CWZ7,1,1,1990,820,564,2348,771,1173,1182,960,909,2167,1015,1725,848,1868,1408,1406,2425,1008,956,1747,585,1391,1526,1145,1240,1434,1154,1384,1245,1735,896,1457,Gamma-soluble NSF attachment protein OS=Mus musculus OX=10090 GN=Napg PE=1 SV=1
D3Z4B2,1,1,1990,820,564,2348,771,1173,1182,960,909,2167,1015,1725,848,1868,1408,1406,2425,1008,956,1747,585,1391,1526,1145,1240,1434,1154,1384,1245,1735,896,1457,Gamma-soluble NSF attachment protein (Fragment) OS=Mus musculus OX=10090 GN=Napg PE=1 SV=1
A0A494BAE3,1,1,1990,820,564,2348,771,1173,1182,960,909,2167,1015,1725,848,1868,1408,1406,2425,1008,956,1747,585,1391,1526,1145,1240,1434,1154,1384,1245,1735,896,1457,Gamma-soluble NSF attachment protein OS=Mus musculus OX=10090 GN=Napg PE=1 SV=1
A0A494BA20,1,1,1990,820,564,2348,771,1173,1182,960,909,2167,1015,1725,848,1868,1408,1406,2425,1008,956,1747,585,1391,1526,1145,1240,1434,1154,1384,1245,1735,896,1457,Gamma-soluble NSF attachment protein OS=Mus musculus OX=10090 GN=Napg PE=1 SV=1
P12658,1,1,12224,6738,4730,30184,7665,9939,12023,9242,6769,28048,12255,17684,5053,17749,8981,15709,14899,8289,8020,22459,5824,11787,15524,11028,9236,18569,13945,14189,7420,16489,5715,16286,Calbindin OS=Mus musculus OX=10090 GN=Calb1 PE=1 SV=2
Q8CCS7,1,1,12224,6738,4730,30184,7665,9939,12023,9242,6769,28048,12255,17684,5053,17749,8981,15709,14899,8289,8020,22459,5824,11787,15524,11028,9236,18569,13945,14189,7420,16489,5715,16286,Calbindin 2 OS=Mus musculus OX=10090 GN=Calb2 PE=1 SV=1
Q08331,1,1,12224,6738,4730,30184,7665,9939,12023,9242,6769,28048,12255,17684,5053,17749,8981,15709,14899,8289,8020,22459,5824,11787,15524,11028,9236,18569,13945,14189,7420,16489,5715,16286,Calretinin OS=Mus musculus OX=10090 GN=Calb2 PE=1 SV=3
P16110,1,1,1804,1831,2423,4497,5842,2470,1950,2218,2239,3386,1617,3877,1745,2610,6010,3362,2198,2252,4108,3346,4438,2929,2517,2646,3055,2241,1840,3110,2562,2424,3824,3485,Galectin-3 OS=Mus musculus OX=10090 GN=Lgals3 PE=1 SV=3
Q8C253,1,1,1804,1831,2423,4497,5842,2470,1950,2218,2239,3386,1617,3877,1745,2610,6010,3362,2198,2252,4108,3346,4438,2929,2517,2646,3055,2241,1840,3110,2562,2424,3824,3485,Galectin OS=Mus musculus OX=10090 GN=Lgals3 PE=1 SV=1
O09061,2,2,1684.5,1343.5,1346.5,4047,2149.5,1302,1600,2071.5,992.5,3375.5,2247.5,3339.5,1468,2144.5,3100,1985,2053,1652,2283,3010.5,1632.5,1543.5,2065.5,2471.5,1354,2234.5,2557,2679,2155.5,1992,1972.5,2057.5,Proteasome subunit beta type-1 OS=Mus musculus OX=10090 GN=Psmb1 PE=1 SV=1
A0A338P7F1,2,2,1684.5,1343.5,1346.5,4047,2149.5,1302,1600,2071.5,992.5,3375.5,2247.5,3339.5,1468,2144.5,3100,1985,2053,1652,2283,3010.5,1632.5,1543.5,2065.5,2471.5,1354,2234.5,2557,2679,2155.5,1992,1972.5,2057.5,Proteasome subunit beta OS=Mus musculus OX=10090 GN=Psmb1 PE=1 SV=1
Reverse_sp|Q9D9S1|EVG1_MOUSE,1,1,1678,2088,715,4172,2455,1895,4939,11113,240,4222,3131,2011,1146,3878,1325,3707,2045,2568,1212,3104,1865,2247,6377,13261,327,2795,3562,1613,1683,3602,843,3843,UPF0193 protein EVG1 homolog OS=Mus musculus OX=10090 PE=2 SV=1
Reverse_tr|Q4V9V4|Q4V9V4_MOUSE,1,1,1678,2088,715,4172,2455,1895,4939,11113,240,4222,3131,2011,1146,3878,1325,3707,2045,2568,1212,3104,1865,2247,6377,13261,327,2795,3562,1613,1683,3602,843,3843,1700088E04Rik protein OS=Mus musculus OX=10090 GN=1700088E04Rik PE=2 SV=1
Reverse_tr|A0A087WSK0|A0A087WSK0_MOUSE,1,1,1678,2088,715,4172,2455,1895,4939,11113,240,4222,3131,2011,1146,3878,1325,3707,2045,2568,1212,3104,1865,2247,6377,13261,327,2795,3562,1613,1683,3602,843,3843,RIKEN cDNA 1700088E04 gene (Fragment) OS=Mus musculus OX=10090 GN=1700088E04Rik PE=4 SV=1
Reverse_tr|A0A087WRF9|A0A087WRF9_MOUSE,1,1,1678,2088,715,4172,2455,1895,4939,11113,240,4222,3131,2011,1146,3878,1325,3707,2045,2568,1212,3104,1865,2247,6377,13261,327,2795,3562,1613,1683,3602,843,3843,RIKEN cDNA 1700088E04 gene OS=Mus musculus OX=10090 GN=1700088E04Rik PE=4 SV=1
Reverse_tr|A0A087WQM6|A0A087WQM6_MOUSE,1,1,1678,2088,715,4172,2455,1895,4939,11113,240,4222,3131,2011,1146,3878,1325,3707,2045,2568,1212,3104,1865,2247,6377,13261,327,2795,3562,1613,1683,3602,843,3843,RIKEN cDNA 1700088E04 gene OS=Mus musculus OX=10090 GN=1700088E04Rik PE=4 SV=1
Reverse_tr|A0A087WPZ1|A0A087WPZ1_MOUSE,1,1,1678,2088,715,4172,2455,1895,4939,11113,240,4222,3131,2011,1146,3878,1325,3707,2045,2568,1212,3104,1865,2247,6377,13261,327,2795,3562,1613,1683,3602,843,3843,RIKEN cDNA 1700088E04 gene OS=Mus musculus OX=10090 GN=1700088E04Rik PE=4 SV=1
Reverse_tr|A0A087WPE0|A0A087WPE0_MOUSE,1,1,1678,2088,715,4172,2455,1895,4939,11113,240,4222,3131,2011,1146,3878,1325,3707,2045,2568,1212,3104,1865,2247,6377,13261,327,2795,3562,1613,1683,3602,843,3843,RIKEN cDNA 1700088E04 gene OS=Mus musculus OX=10090 GN=1700088E04Rik PE=4 SV=1
A0A0A6YVV5,1,1,6004,5098,2674,24615,4811,3219,5296,3843,3013,10751,5875,10222,1072,5217,3703,4333,7318,6271,4534,18315,3655,3817,6838,4585,4111,7117,6685,8202,1574,4846,2356,4492,Far upstream element (FUSE) binding protein 3 (Fragment) OS=Mus musculus OX=10090 GN=Fubp3 PE=1 SV=1
G3UXA8,1,1,1639,1154,1041,8730,2706,667,2142,1375,851,4324,2039,3825,758,1298,1726,1343,1997,1419,1765,6495,2056,791,2765,1640,1161,2862,2320,3069,1113,1205,1098,1392,Calumenin (Fragment) OS=Mus musculus OX=10090 GN=Calu PE=1 SV=1
G3V004,1,1,1639,1154,1041,8730,2706,667,2142,1375,851,4324,2039,3825,758,1298,1726,1343,1997,1419,1765,6495,2056,791,2765,1640,1161,2862,2320,3069,1113,1205,1098,1392,Calumenin OS=Mus musculus OX=10090 GN=Calu PE=1 SV=1
Q64436,14,14,7668.21,4649.29,2842.5,30970.21,5707.57,4420.71,5501.07,6442.86,4110.5,9067.5,4438.64,7732.86,4195.5,4633.64,8362,4853,9346,5719.29,4819.57,23044.07,4336.29,5242.57,7102.93,7688,5608.14,6003,5050.29,6204.57,6161.07,4304.43,5321.43,5031.07,Potassium-transporting ATPase alpha chain 1 OS=Mus musculus OX=10090 GN=Atp4a PE=1 SV=4
Q91WH7,14,14,7668.21,4649.29,2842.5,30970.21,5707.57,4420.71,5501.07,6442.86,4110.5,9067.5,4438.64,7732.86,4195.5,4633.64,8362,4853,9346,5719.29,4819.57,23044.07,4336.29,5242.57,7102.93,7688,5608.14,6003,5050.29,6204.57,6161.07,4304.43,5321.43,5031.07,Sodium/potassium-transporting ATPase subunit alpha OS=Mus musculus OX=10090 GN=Atp4a PE=1 SV=1
Q61548-2,6,6,1830,2967.83,574.67,4294.67,5105.67,2878.33,3157,2311,1294.5,6252.17,3494.17,3272.17,813.5,3577.67,3697,2654.33,2230.17,3650.33,974,3195,3879,3413.17,4076,2757.17,1765.67,4139,3975.67,2625,1194.33,3323.5,2352.67,2751.33,Isoform Short of Clathrin coat assembly protein AP180 OS=Mus musculus OX=10090 GN=Snap91
Q3TWS4,6,6,1830,2967.83,574.67,4294.67,5105.67,2878.33,3157,2311,1294.5,6252.17,3494.17,3272.17,813.5,3577.67,3697,2654.33,2230.17,3650.33,974,3195,3879,3413.17,4076,2757.17,1765.67,4139,3975.67,2625,1194.33,3323.5,2352.67,2751.33,Clathrin coat assembly protein AP180 OS=Mus musculus OX=10090 GN=Snap91 PE=1 SV=1
E9QQ05,6,6,1830,2967.83,574.67,4294.67,5105.67,2878.33,3157,2311,1294.5,6252.17,3494.17,3272.17,813.5,3577.67,3697,2654.33,2230.17,3650.33,974,3195,3879,3413.17,4076,2757.17,1765.67,4139,3975.67,2625,1194.33,3323.5,2352.67,2751.33,Clathrin coat assembly protein AP180 OS=Mus musculus OX=10090 GN=Snap91 PE=1 SV=2
E9QLK9,6,6,1830,2967.83,574.67,4294.67,5105.67,2878.33,3157,2311,1294.5,6252.17,3494.17,3272.17,813.5,3577.67,3697,2654.33,2230.17,3650.33,974,3195,3879,3413.17,4076,2757.17,1765.67,4139,3975.67,2625,1194.33,3323.5,2352.67,2751.33,Clathrin coat assembly protein AP180 OS=Mus musculus OX=10090 GN=Snap91 PE=1 SV=2
E9Q9A3,6,6,1830,2967.83,574.67,4294.67,5105.67,2878.33,3157,2311,1294.5,6252.17,3494.17,3272.17,813.5,3577.67,3697,2654.33,2230.17,3650.33,974,3195,3879,3413.17,4076,2757.17,1765.67,4139,3975.67,2625,1194.33,3323.5,2352.67,2751.33,Clathrin coat assembly protein AP180 OS=Mus musculus OX=10090 GN=Snap91 PE=1 SV=2
A0A5F8MPL3,6,6,1830,2967.83,574.67,4294.67,5105.67,2878.33,3157,2311,1294.5,6252.17,3494.17,3272.17,813.5,3577.67,3697,2654.33,2230.17,3650.33,974,3195,3879,3413.17,4076,2757.17,1765.67,4139,3975.67,2625,1194.33,3323.5,2352.67,2751.33,Clathrin coat assembly protein AP180 OS=Mus musculus OX=10090 GN=Snap91 PE=1 SV=1
Q61548,6,6,1830,2967.83,574.67,4294.67,5105.67,2878.33,3157,2311,1294.5,6252.17,3494.17,3272.17,813.5,3577.67,3697,2654.33,2230.17,3650.33,974,3195,3879,3413.17,4076,2757.17,1765.67,4139,3975.67,2625,1194.33,3323.5,2352.67,2751.33,Clathrin coat assembly protein AP180 OS=Mus musculus OX=10090 GN=Snap91 PE=1 SV=1
Q61548-3,6,6,1830,2967.83,574.67,4294.67,5105.67,2878.33,3157,2311,1294.5,6252.17,3494.17,3272.17,813.5,3577.67,3697,2654.33,2230.17,3650.33,974,3195,3879,3413.17,4076,2757.17,1765.67,4139,3975.67,2625,1194.33,3323.5,2352.67,2751.33,Isoform 3 of Clathrin coat assembly protein AP180 OS=Mus musculus OX=10090 GN=Snap91
Reverse_sp|Q91VR5|DDX1_MOUSE,1,1,2672,1574,2440,4558,9008,3268,3298,4157,1961,6417,2599,3312,3833,4639,3393,2819,3256,1936,4137,3391,6844,3875,4258,4960,2675,4248,2957,2657,5629,4309,2159,2922,ATP-dependent RNA helicase DDX1 OS=Mus musculus OX=10090 GN=Ddx1 PE=1 SV=1
Reverse_tr|A0A1Y7VM48|A0A1Y7VM48_MOUSE,1,1,2672,1574,2440,4558,9008,3268,3298,4157,1961,6417,2599,3312,3833,4639,3393,2819,3256,1936,4137,3391,6844,3875,4258,4960,2675,4248,2957,2657,5629,4309,2159,2922,DEAD box helicase 1 (Fragment) OS=Mus musculus OX=10090 GN=Ddx1 PE=1 SV=1
Reverse_sp|F6VAN0|ATF6A_MOUSE,1,1,0,482,0,629,1853,167,811,670,193,734,548,895,506,667,1014,556,NA,592,NA,468,1407,198,1047,799,263,485,623,718,743,619,645,576,Cyclic AMP-dependent transcription factor ATF-6 alpha OS=Mus musculus OX=10090 GN=Atf6 PE=1 SV=2
P31650,3,3,0,272,339,2539.5,268,264.5,275,294,190.5,731.5,209.5,311,281.5,235.5,250,342,NA,334.5,574.5,1889,203.5,313.5,355,350.5,259.5,484,238,249.5,413,218.5,159,354.5,Sodium- and chloride-dependent GABA transporter 3 OS=Mus musculus OX=10090 GN=Slc6a11 PE=1 SV=2
Q99M73,7,7,7725.71,13652.71,11346.14,34893.86,12625.43,15274.71,6243.29,4367.29,10019.43,9743.86,10352.86,12592.57,5395.71,6707,28628.86,10475.57,9416,16795.29,19238.71,25963.71,9592.57,18115.29,8061.29,5211.14,13670.86,6450.86,11780.14,10104,7923.71,6230.71,18219.86,10860.71,"Keratin, type II cuticular Hb4 OS=Mus musculus OX=10090 GN=Krt84 PE=2 SV=2"
Reverse_sp|Q9D6Z1|NOP56_MOUSE,1,1,0,711,635,765,1480,0,1382,0,678,1054,567,0,0,1132,0,0,NA,874,1076,569,1124,NA,1784,NA,925,697,645,NA,NA,1051,NA,NA,Nucleolar protein 56 OS=Mus musculus OX=10090 GN=Nop56 PE=1 SV=2
Reverse_tr|A2APD7|A2APD7_MOUSE,1,1,0,711,635,765,1480,0,1382,0,678,1054,567,0,0,1132,0,0,NA,874,1076,569,1124,NA,1784,NA,925,697,645,NA,NA,1051,NA,NA,Nucleolar protein 5A (Fragment) OS=Mus musculus OX=10090 GN=Nop56 PE=1 SV=1
Reverse_tr|Q5NCI3|Q5NCI3_MOUSE,1,1,364,341,406,295,721,379,596,299,463,733,679,472,255,702,0,0,443,419,688,219,547,449,769,356,631,485,772,378,374,652,NA,NA,DNA-directed DNA/RNA polymerase mu OS=Mus musculus OX=10090 GN=Polm PE=1 SV=1
P30275,1,1,2222,1151,831,2023,1729,1756,1136,1959,695,2968,1144,1691,852,1985,1217,1801,2708,1415,1409,1505,1313,2082,1466,2337,948,1965,1301,1356,1251,1844,774,1867,"Creatine kinase U-type, mitochondrial OS=Mus musculus OX=10090 GN=Ckmt1 PE=1 SV=1"
B0R0F0,1,1,2222,1151,831,2023,1729,1756,1136,1959,695,2968,1144,1691,852,1985,1217,1801,2708,1415,1409,1505,1313,2082,1466,2337,948,1965,1301,1356,1251,1844,774,1867,"Creatine kinase U-type, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Ckmt1 PE=1 SV=1"
B0R0E9,1,1,2222,1151,831,2023,1729,1756,1136,1959,695,2968,1144,1691,852,1985,1217,1801,2708,1415,1409,1505,1313,2082,1466,2337,948,1965,1301,1356,1251,1844,774,1867,"Creatine kinase, mitochondrial 1, ubiquitous (Fragment) OS=Mus musculus OX=10090 GN=Ckmt1 PE=1 SV=1"
B0R0E8,1,1,2222,1151,831,2023,1729,1756,1136,1959,695,2968,1144,1691,852,1985,1217,1801,2708,1415,1409,1505,1313,2082,1466,2337,948,1965,1301,1356,1251,1844,774,1867,"Creatine kinase, mitochondrial 1, ubiquitous (Fragment) OS=Mus musculus OX=10090 GN=Ckmt1 PE=1 SV=1"
A2ARP5,1,1,2222,1151,831,2023,1729,1756,1136,1959,695,2968,1144,1691,852,1985,1217,1801,2708,1415,1409,1505,1313,2082,1466,2337,948,1965,1301,1356,1251,1844,774,1867,"Creatine kinase U-type, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Ckmt1 PE=1 SV=1"
Q6P8J7,1,1,2222,1151,831,2023,1729,1756,1136,1959,695,2968,1144,1691,852,1985,1217,1801,2708,1415,1409,1505,1313,2082,1466,2337,948,1965,1301,1356,1251,1844,774,1867,"Creatine kinase S-type, mitochondrial OS=Mus musculus OX=10090 GN=Ckmt2 PE=1 SV=1"
Reverse_sp|Q9Z0L4|BMP15_MOUSE,1,1,640,726,701,840,1349,709,1113,657,631,1425,682,617,692,755,803,749,780,893,1188,625,1025,840,1437,784,860,943,776,495,1016,701,511,776,Bone morphogenetic protein 15 OS=Mus musculus OX=10090 GN=Bmp15 PE=2 SV=1
Q8BJM7-3,1,1,0,0,0,0,0,0,0,0,0,0,0,307,0,0,360,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,NA,NA,229,NA,Isoform 2 of S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1 OS=Mus musculus OX=10090 GN=Tyw1
Q8R464,4,4,1786.5,1392,798,10666.5,1799,1475.25,1578,2095.25,935.5,3575.5,2133,3311.25,1257.5,2449,2753.75,2238.5,2177.25,1712,1352.5,7936.25,1366.25,1749,2037.25,2500,1276,2366.75,2426.75,2656.5,1846.25,2274.75,1752.25,2320.5,Cell adhesion molecule 4 OS=Mus musculus OX=10090 GN=Cadm4 PE=1 SV=1
Reverse_sp|Q91WS4|BHMT2_MOUSE,1,1,1849,4546,1382,8214,9421,3052,2617,6671,2458,7627,5606,5823,6513,6197,9002,6928,2253,5592,2343,6111,7158,3619,3379,7960,3353,5049,6379,4672,9565,5757,5729,7182,S-methylmethionine--homocysteine S-methyltransferase BHMT2 OS=Mus musculus OX=10090 GN=Bhmt2 PE=1 SV=2
Q9JHK4-2,2,2,8401,6312,58572,72164.5,123542,2739,94245,59164.5,4680,12484.5,8477,3015.5,57886.5,3416,6724,5386.5,10239,7765,99318,53696.5,93869.5,3248,121694.5,70601.5,6385.5,8265,9645.5,2419,85012.5,3173,4279,5584,Isoform 2 of Geranylgeranyl transferase type-2 subunit alpha OS=Mus musculus OX=10090 GN=Rabggta
Q9JHK4,2,2,8401,6312,58572,72164.5,123542,2739,94245,59164.5,4680,12484.5,8477,3015.5,57886.5,3416,6724,5386.5,10239,7765,99318,53696.5,93869.5,3248,121694.5,70601.5,6385.5,8265,9645.5,2419,85012.5,3173,4279,5584,Geranylgeranyl transferase type-2 subunit alpha OS=Mus musculus OX=10090 GN=Rabggta PE=1 SV=1
Q9CPX6,1,1,1601,1068,577,5167,1412,1120,1087,1349,862,1682,1032,1510,756,1476,1187,1219,1951,1313,978,3844,1072,1328,1403,1609,1176,1113,1174,1211,1110,1371,755,1263,Ubiquitin-like-conjugating enzyme ATG3 OS=Mus musculus OX=10090 GN=Atg3 PE=1 SV=1
Q99LQ7,3,3,92317,73890.33,60308.33,110740,158958,44510.33,99350.33,126952.33,55737,81013.67,66817.67,89958.67,80624.67,129215.67,86689.67,127769.33,112522.33,90901,102262.33,82400,120779.33,52789,128287,151494.33,76052,53636.67,76032.33,72183.67,118406,120049.33,55171.67,132470,Plasmanylethanolamine desaturase 1 OS=Mus musculus OX=10090 GN=Peds1 PE=1 SV=1
E9PY39,3,3,92317,73890.33,60308.33,110740,158958,44510.33,99350.33,126952.33,55737,81013.67,66817.67,89958.67,80624.67,129215.67,86689.67,127769.33,112522.33,90901,102262.33,82400,120779.33,52789,128287,151494.33,76052,53636.67,76032.33,72183.67,118406,120049.33,55171.67,132470,Predicted gene 20431 OS=Mus musculus OX=10090 GN=Gm20431 PE=3 SV=1
P10649,4,4,4196.5,3938,2283.75,17777.5,2355.25,2513,2862.5,3772.5,3668.75,8477.5,4381.25,7260.25,3499,3284,4002.25,3939,5114.5,4844,3872,13227.5,1789,2979.75,3695.75,4501.25,5005.5,5612.25,4985,5825,5138.25,3050.75,2546.75,4083.5,Glutathione S-transferase Mu 1 OS=Mus musculus OX=10090 GN=Gstm1 PE=1 SV=2
F6WHQ7,4,4,4196.5,3938,2283.75,17777.5,2355.25,2513,2862.5,3772.5,3668.75,8477.5,4381.25,7260.25,3499,3284,4002.25,3939,5114.5,4844,3872,13227.5,1789,2979.75,3695.75,4501.25,5005.5,5612.25,4985,5825,5138.25,3050.75,2546.75,4083.5,glutathione transferase (Fragment) OS=Mus musculus OX=10090 GN=Gstm1 PE=1 SV=1
A2AE89,4,4,4196.5,3938,2283.75,17777.5,2355.25,2513,2862.5,3772.5,3668.75,8477.5,4381.25,7260.25,3499,3284,4002.25,3939,5114.5,4844,3872,13227.5,1789,2979.75,3695.75,4501.25,5005.5,5612.25,4985,5825,5138.25,3050.75,2546.75,4083.5,Glutathione S-transferase OS=Mus musculus OX=10090 GN=Gstm1 PE=1 SV=2
A0A2R8W744,1,1,1605,1230,0,951,1641,1084,1679,1055,3396,2119,2130,3834,2076,2849,2891,4418,1956,1513,NA,707,1246,1285,2168,1258,4633,1402,2423,3076,3048,2646,1839,4580,"Aconitase 2, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1"
P07901,4,4,2416.75,1853,1474.75,5536.75,2252.25,2262,1989.5,2389.75,1948.25,3535,2327.25,2480.5,2129.5,1482.5,2788.5,1843.5,2945.5,2279.5,2500.25,4119.5,1711,2682.5,2568.75,2851.5,2658,2340,2648,1990,3127.25,1377,1774.5,1911.25,Heat shock protein HSP 90-alpha OS=Mus musculus OX=10090 GN=Hsp90aa1 PE=1 SV=4
Reverse_tr|E9PWE8|E9PWE8_MOUSE,1,1,2028,2125,886,4843,5433,2040,1777,2367,1913,3826,2178,3338,2511,3479,3975,2973,2471,2614,1502,3603,4128,2419,2294,2824,2610,2533,2478,2678,3687,3232,2529,3082,Dihydropyrimidinase-like 3 OS=Mus musculus OX=10090 GN=Dpysl3 PE=1 SV=1
Q01887,1,1,653,358,376,387,1570,296,779,411,430,1239,926,645,687,915,552,827,795,440,637,287,1192,351,1005,490,586,820,1053,517,1008,850,351,857,Tyrosine-protein kinase RYK OS=Mus musculus OX=10090 GN=Ryk PE=1 SV=2
H9H9R6,1,1,653,358,376,387,1570,296,779,411,430,1239,926,645,687,915,552,827,795,440,637,287,1192,351,1005,490,586,820,1053,517,1008,850,351,857,Tyrosine-protein kinase RYK OS=Mus musculus OX=10090 GN=Ryk PE=4 SV=1
A2AJ72,2,2,3002,2776,1337,12510.5,2637.5,1733,2890.5,2134.5,1506.5,5749.5,3115.5,5470,694.5,2952.5,2171,2370,3659,3414.5,2267,9308.5,2003.5,2054.5,3732,2546.5,2055.5,3806,3545,4389,1019.5,2742.5,1381,2456.5,Far upstream element (FUSE) binding protein 3 OS=Mus musculus OX=10090 GN=Fubp3 PE=1 SV=1
Q3TIX6,2,2,3002,2776,1337,12510.5,2637.5,1733,2890.5,2134.5,1506.5,5749.5,3115.5,5470,694.5,2952.5,2171,2370,3659,3414.5,2267,9308.5,2003.5,2054.5,3732,2546.5,2055.5,3806,3545,4389,1019.5,2742.5,1381,2456.5,Far upstream element (FUSE) binding protein 3 OS=Mus musculus OX=10090 GN=Fubp3 PE=1 SV=1
Q64332-2,1,1,1496,1427,707,2551,2132,1142,1608,1365,1020,2686,1096,1927,886,788,1145,1753,1823,1755,1198,1898,1619,1354,2076,1628,1391,1778,1247,1546,1301,732,728,1817,Isoform IIb of Synapsin-2 OS=Mus musculus OX=10090 GN=Syn2
Q64332,1,1,1496,1427,707,2551,2132,1142,1608,1365,1020,2686,1096,1927,886,788,1145,1753,1823,1755,1198,1898,1619,1354,2076,1628,1391,1778,1247,1546,1301,732,728,1817,Synapsin-2 OS=Mus musculus OX=10090 GN=Syn2 PE=1 SV=2
Reverse_sp|P13439|UMPS_MOUSE,1,1,1987,1833,1588,3412,13950,1017,7360,5184,1660,4141,3649,7139,4005,5946,5902,4174,2421,2254,2692,2538,10599,1206,9503,6186,2265,2741,4152,5728,5881,5524,3756,4327,Uridine 5&#039;-monophosphate synthase OS=Mus musculus OX=10090 GN=Umps PE=1 SV=3
Q06890,1,1,0,0,267,8007,128,1047,311,0,385,829,403,752,0,0,373,0,NA,NA,452,5957,97,1241,401,NA,525,548,458,603,NA,NA,237,NA,Clusterin OS=Mus musculus OX=10090 GN=Clu PE=1 SV=1
E9Q9B8,1,1,0,0,267,8007,128,1047,311,0,385,829,403,752,0,0,373,0,NA,NA,452,5957,97,1241,401,NA,525,548,458,603,NA,NA,237,NA,Clusterin (Fragment) OS=Mus musculus OX=10090 GN=Clu PE=1 SV=1
E9Q8Y5,1,1,0,0,267,8007,128,1047,311,0,385,829,403,752,0,0,373,0,NA,NA,452,5957,97,1241,401,NA,525,548,458,603,NA,NA,237,NA,Clusterin (Fragment) OS=Mus musculus OX=10090 GN=Clu PE=1 SV=1
E9Q2G2,1,1,0,0,267,8007,128,1047,311,0,385,829,403,752,0,0,373,0,NA,NA,452,5957,97,1241,401,NA,525,548,458,603,NA,NA,237,NA,Clusterin (Fragment) OS=Mus musculus OX=10090 GN=Clu PE=1 SV=1
E9PXG5,1,1,0,0,267,8007,128,1047,311,0,385,829,403,752,0,0,373,0,NA,NA,452,5957,97,1241,401,NA,525,548,458,603,NA,NA,237,NA,Clusterin (Fragment) OS=Mus musculus OX=10090 GN=Clu PE=1 SV=1
E9PUU2,1,1,0,0,267,8007,128,1047,311,0,385,829,403,752,0,0,373,0,NA,NA,452,5957,97,1241,401,NA,525,548,458,603,NA,NA,237,NA,Clusterin (Fragment) OS=Mus musculus OX=10090 GN=Clu PE=1 SV=1
Q8K1J5,1,1,1524,1238,1086,2645,1984,846,1094,1950,1669,2751,1558,2491,1806,1653,3349,1882,1857,1523,1841,1968,1507,1003,1412,2326,2277,1821,1772,1998,2652,1535,2131,1951,Splicing regulator SDE2 OS=Mus musculus OX=10090 GN=Sde2 PE=1 SV=1
P61375,1,1,15336,10056,12122,40392,29207,2667,16355,29310,17446,19799,20831,20720,29878,25058,27554,24126,18692,12371,20554,30055,22192,3163,21118,34976,23804,13108,23703,16626,43879,23280,17536,25013,LIM/homeobox protein Lhx5 OS=Mus musculus OX=10090 GN=Lhx5 PE=2 SV=1
O54931-7,1,1,952,510,532,2579,1188,777,1165,1041,601,1126,1394,1399,562,899,1139,712,1160,627,902,1919,902,921,1504,1242,820,745,1586,1122,825,835,724,738,Isoform 7 of PALM2-AKAP2 fusion protein OS=Mus musculus OX=10090 GN=Pakap
Reverse_sp|P97377|CDK2_MOUSE,3,3,0,438,170,239.5,240,0,0,193,214.5,298,209.5,129,179.5,240.5,520,0,NA,538.5,288,178,182,NA,NA,230,292.5,197,238,103.5,263.5,223,330.5,NA,Cyclin-dependent kinase 2 OS=Mus musculus OX=10090 GN=Cdk2 PE=1 SV=2
Reverse_sp|Q9D7J9|ECHD3_MOUSE,1,1,0,336,0,1178,1089,507,701,928,495,581,1051,872,750,720,795,936,NA,413,NA,876,827,601,905,1107,675,384,1195,699,1101,668,505,970,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial OS=Mus musculus OX=10090 GN=Echdc3 PE=1 SV=1"
O55023,1,1,2767,3140,2101,21401,3737,4188,1992,4884,3303,9932,4189,8332,2779,3109,4784,5237,3372,3862,3562,15924,2839,4966,2572,5828,4506,6575,4766,6685,4081,2888,3044,5429,Inositol monophosphatase 1 OS=Mus musculus OX=10090 GN=Impa1 PE=1 SV=1
Q924B0,1,1,2767,3140,2101,21401,3737,4188,1992,4884,3303,9932,4189,8332,2779,3109,4784,5237,3372,3862,3562,15924,2839,4966,2572,5828,4506,6575,4766,6685,4081,2888,3044,5429,Inositol-1-monophosphatase OS=Mus musculus OX=10090 GN=Impa1 PE=1 SV=1
